model,auc_mean,auc_std,oof_auc,fold0,fold1,fold2,fold3,fold4,fit_seconds,peak_rss_gb
catboost,0.7803426895343321,0.0008061666866712065,0.7802425653540505,0.779717936009729,0.7805597228354395,0.7815228765853568,0.7792078209497479,0.7807050912913867,119.42894864082336,2.282508
lightgbm,0.779698588211505,0.0009712230235143944,0.7795454167552156,0.7810267216524961,0.7796960661397415,0.7804952654431118,0.7788186577973116,0.7784562300248639,14.015665054321289,2.652204
xgboost,0.7784196280065597,0.0005774728138931694,0.7782798944317957,0.7781082350942559,0.7780028628433526,0.7792835499613812,0.7777855577381007,0.7789179343957081,27.98116970062256,3.363244
logistic_regression,0.7664504504232098,0.0014683047914141318,0.7664533811694685,0.7667754065101744,0.7665354196153975,0.7688783178023302,0.76442093760883,0.7656421705793169,45.95873427391052,2.991168
random_forest,0.7617019026636038,0.00147411477262907,0.7616705391318299,0.7610612058007645,0.7641203770189691,0.7595712715072276,0.7618352066579748,0.7619214523330831,96.09608554840088,3.363244
