model,auc_mean,auc_std,oof_auc,ks,threshold,precision,recall,f1,brier,fit_seconds
ensemble,0.783383812267349,,0.783383812267349,0.4275438442837414,0.11734871194813716,0.21693367242755573,0.5884189325276938,0.31699873862387934,0.0662116587223307,
catboost,0.7803426895343321,0.0008061666866712,0.7802425653540505,0.4226890486799178,0.5649478313854265,0.21505875364309715,0.5833333333333334,0.3142589754370736,0.1752126815353783,119.42894864082336
lightgbm,0.779698588211505,0.0009712230235143,0.7795454167552156,0.4214708924941649,0.5677057273784986,0.21479886391059794,0.5826283987915408,0.31387920628246685,0.16977269786324334,14.015665054321287
xgboost,0.7784196280065597,0.0005774728138931,0.7782798944317957,0.4190040553253891,0.5435903161430147,0.21377786853292247,0.5798590130916415,0.3123872560322261,0.16350688793371346,27.98116970062256
logistic_regression,0.7664504504232098,0.0014683047914141,0.7664533811694685,0.3992267778690535,0.5942490884704068,0.2071321168018712,0.5618328298086607,0.3026760162215682,0.19599347642370735,45.95873427391052
random_forest,0.7617019026636038,0.001474114772629,0.7616705391318299,0.39035064436854894,0.5379231720789779,0.20367929607009597,0.5524672708962739,0.29763051173893584,0.17711881862413523,96.09608554840088
