config,n_members,auc
stacking_all5,5,0.783383812267349
stacking_boost3,3,0.7829817444274165
rank_avg_boost3_equal,3,0.7828890670140334
rank_avg_all5_auc_weighted,5,0.7808225618845868
rank_avg_all5_equal,5,0.7806692978829948
catboost,1,0.7802425653540505
lightgbm,1,0.7795454167552156
xgboost,1,0.7782798944317957
logistic_regression,1,0.7664533811694685
random_forest,1,0.7616705391318299
