feature,mean_abs_shap_oof,mean_abs_shap_fold0,diff
EXT_SOURCE_MEAN,0.36649846048179935,0.3678466719878059,-0.001348211506006558
DAYS_EMPLOYED,0.12878396602878547,0.13268570713033523,-0.003901741101549755
PREV_DAYS_LAST_DUE_1ST_VERSION_MAX,0.11884156920597667,0.1117707902631705,0.00707077894280618
CREDIT_TERM,0.11718603944229554,0.11473758683283788,0.0024484526094576547
NAME_EDUCATION_TYPE,0.11010342993286056,0.12035285516824304,-0.010249425235382484
AMT_ANNUITY,0.10609863061699489,0.08996458873280566,0.016134041884189224
EXT_SOURCE_1,0.09534447270893542,0.09854249531813652,-0.003198022609201101
EXT_SOURCE_MAX,0.08308110179330083,0.0893737365637113,-0.006292634770410463
EXT_SOURCE_MIN,0.08264901349367906,0.07767428711049329,0.0049747263831857735
INST_LATE_RATIO,0.08077213237577267,0.08289306064341183,-0.002120928267639155
DAYS_BIRTH,0.0682614033118629,0.06909010272421215,-0.0008286994123492541
EXT_SOURCE_3,0.06573926191771995,0.06458762098190236,0.0011516409358175855
OCCUPATION_TYPE,0.06079698363626539,0.03921038740740873,0.021586596228856662
PREV_DAYS_LAST_DUE_MAX,0.053759616051912894,0.046220041752005996,0.007539574299906898
OWN_CAR_AGE,0.05372915442168494,0.04562567856536135,0.008103475856323587
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,0.05342418565625289,0.03845785577521152,0.014966329881041372
PREV_PRODUCT_COMBINATION_MODE,0.05327268190214296,0.041380010546743035,0.011892671355399925
PREV_REFUSED_RATIO,0.05160381389089468,0.04688190519348042,0.004721908697414262
ORGANIZATION_TYPE,0.04937855856753868,0.042375527686577784,0.007003030880960895
PREV_APPROVED_AMT_ANNUITY_SUM,0.04786663077847607,0.0503954299779158,-0.002528799199439734
INST_AMT_INSTALMENT_SUM,0.046268138357142,0.052787881456253856,-0.006519743099111859
INST_PAYMENT_DIFF_MEAN,0.045267327664400246,0.04990077620326211,-0.004633448538861863
INST_DAYS_ENTRY_PAYMENT_MAX,0.04521353614415876,0.04288970628907949,0.0023238298550792708
AMT_CREDIT,0.04371883302728657,0.04487093267073492,-0.0011520996434483538
PREV_APP_CREDIT_RATIO_MIN,0.04339542989596414,0.03949363158369296,0.003901798312271179
BUREAU_ACTIVE_AMT_CREDIT_SUM_MIN,0.042573266167557494,0.03404487891754527,0.008528387250012225
EXT_SOURCE_2,0.041417973365303715,0.03218212889048592,0.009235844474817796
